2017Apr01_p,1431,2569,9247,13247
2017Apr02_p,1067,1491,6564,9122
2017Apr03_p,2467,3636,12586,18689
2017Apr04_p,2863,5261,14145,22269
2017Apr05_p,3056,4858,16937,24851
2017Apr06_p,3598,6637,20878,31113
2017Apr07_p,1943,3939,10782,16664
2017Apr08_p,2048,2942,10298,15288
2017Apr09_p,2113,2423,9048,13584
2017Apr10_p,3559,4217,18646,26422
2017Apr11_p,6504,3767,19847,30118
2017Apr12_p,6388,5677,20328,32393
2017Apr13_p,3626,4185,17444,25255
2017Apr14_p,2841,3242,13197,19280
2017Apr18_p,1623,2065,7993,11681
2017Apr19_p,3788,5125,16520,25433
2017Apr20_p,3339,4834,17116,25289
2017Apr21_p,2693,4093,15625,22411
2017Apr22_p,1759,2645,10698,15102
2017Apr23_p,1462,1963,8483,11908
2017Apr24_p,2246,3979,14495,20720
2017Apr25_p,2217,3084,14073,19374
2017Apr26_p,2565,3449,14499,20513
2017Apr27_p,3995,4627,19543,28165
2017Apr28_p,2438,3967,13526,19931
2017Apr29_p,899,1026,5786,7711
2017Apr30_p,1581,1961,8905,12447
2017Mar17_p,3461,3580,13223,20264
2017Mar18_p,2393,2805,11532,16730
2017Mar19_p,1811,2371,10354,14536
2017Mar20_p,2293,3533,14684,20510
2017Mar21_p,6251,5243,19860,31354
2017Mar22_p,3362,4894,17479,25735
2017Mar23_p,1789,2787,9825,14401
2017Mar24_p,2426,3730,12695,18851
2017Mar25_p,1858,2287,9839,13984
2017Mar26_p,1494,2175,8600,12269
2017Mar27_p,2513,3880,13661,20054
2017Mar28_p,2309,3468,15285,21062
2017Mar29_p,2348,3429,15523,21300
2017Mar30_p,2467,4241,15963,22671
2017Mar31_p,1775,3303,12390,17468
2017May01_p,2294,3145,12700,18139
2017May02_p,4386,17350,22549,44285
2017May03_p,5118,11067,19193,35378
2017May04_p,3103,5871,16392,25366
2017May05_p,2627,6368,14743,23738
2017May06_p,1817,3095,10155,15067
2017May07_p,1490,2796,8902,13188
2017May08_p,2824,4479,13563,20866
2017May09_p,7985,4882,16893,29760
2017May10_p,6856,10849,31367,49072
2017May11_p,5974,14354,31551,51879
2017May12_p,6219,9895,21462,37576
2017May13_p,13564,6017,19393,38974
2017May14_p,7882,3526,13376,24784
2017May15_p,20196,5815,20433,46444
2017May16_p,8867,6242,15907,31016
2017May17_p,4846,4823,13906,23575
2017May18_p,3584,5607,15386,24577
2017May19_p,2907,4263,12750,19920
2017May20_p,2152,3427,10083,15662
2017May21_p,1987,2924,8721,13632
2017May22_p,2535,5354,14065,21954
2017May23_p,2663,9068,20192,31923
2017May24_p,2395,6950,18741,28086
2017May25_p,2379,3914,16529,22822
2017May26_p,2364,3357,13592,19313
2017May27_p,1426,2286,8679,12391
2017May28_p,1666,2099,8851,12616
2017May29_p,2050,2179,10016,14245
2017May30_p,2538,3432,12567,18537
2017May31_p,2638,4665,14586,21889
hneg_p,428,17,55,500
hneu_p,28,27,500,555
hpos_p,31,371,98,500
